"Method","RBPMean","RBPMedian","ARBPMean","ARBPMedian","RMSEMean","RMSEPMedian"
"E_OR",2.70902311891553,0.583815502217183,16.5261969712891,11.667045825846,62.1874890446251,48.4874065358934
"M_OR",5.82769534706128,0.00255462930538998,17.9473869565168,10.6888018066231,32.4661328879513,24.6225105965583
"R_OR",-1.44692950280295,-6.80928677465791,17.9214159336479,15.0360633248388,34.1712096969896,28.3345349149486
"X_OR",3.1031852082772,-3.19170929139533,17.5239102573447,12.1386483584772,39.4867569486806,32.9164828381349
"EE_NIPW",7.48296931029191,6.9793749123647,31.1598867845616,19.778964813044,100.771388071774,79.9826948269193
"EM_NIPW",7.95783655248626,-2.05175591957166,18.9306502422325,12.5008403381263,33.7034511611415,25.9423601863451
"ER_NIPW",-41.0854165774142,-44.6003573454885,41.5592442797491,44.6003573454885,47.609709327092,48.0533299773787
"EX_NIPW",6.49242103739367,-1.31780684396607,18.5976802132181,13.4488978350617,39.0264105953266,31.7793178813867
"MM_NIPW",7.15184904530041,-3.03980073687492,18.9024345598191,11.9254225034904,33.5734542142241,25.9303469342332
"ME_NIPW",6.10374992057033,5.6408842254833,30.9776326652412,20.4913615430266,100.604775968537,79.3050013787668
"MR_NIPW",-42.075853898888,-45.2674872895602,42.2969610367512,45.2674872895602,48.1773888041524,48.6992917023896
"MX_NIPW",5.02464083119667,-2.91762227500789,18.4983748451458,14.8814128674241,38.5573984572988,32.1562618820672
"RR_NIPW",-45.8306655851061,-48.9703746794765,45.8306655851061,48.9703746794765,51.2355148384758,52.1330717993813
"RE_NIPW",0.203997727229388,0.761036971964712,30.7669620897582,19.935464543613,100.138479525153,76.662785425991
"RM_NIPW",3.5922197806213,-6.20007429008219,18.694375458418,11.1809197490493,33.1785632872021,26.1368670982455
"RX_NIPW",-0.415432339410127,-8.28169265704274,18.3039509508071,14.5226980828353,37.8772025363593,32.2934626546122
"XX_NIPW",-0.726252003549835,-8.42463176273809,18.2545463531156,14.8717844952399,37.3407504106159,32.132382909473
"XE_NIPW",1.04388775283567,1.10345483149194,30.6888190094673,19.8059152110378,100.096147819133,76.5727040784354
"XM_NIPW",4.06852295618417,-5.57684579265904,18.6026916981184,11.1002629683754,33.1611388276108,26.0815553018742
"XR_NIPW",-45.4056698194515,-48.4390880633962,45.4056698194515,48.4390880633962,50.8359565705189,51.5845981940139
"EEM_AIPW",7.29715212347855,0.770133568445539,17.8402709776492,10.5864282527663,33.2399120233917,25.0653895906802
"EER_AIPW",-41.6852587720029,-44.2193204096737,41.773267495695,44.2193204096737,48.0323357741743,48.4373001219322
"EEX_AIPW",5.8482766324036,0.340727543079824,17.2031474218889,12.4921156266977,38.3604642804152,31.3833870325075
"EMM_AIPW",7.9989194296595,0.667435876606437,20.1261726701934,10.7482484614057,36.6171759693489,27.341906964332
"EMR_AIPW",-41.2352012162914,-44.848050498918,41.9761036751539,44.848050498918,50.1784759462462,50.105416993397
"EMX_AIPW",6.30914246159566,1.14344616779181,18.3837311958229,11.4919540784631,40.6052537104226,32.0978402605028
"ERM_AIPW",8.1732226202331,1.12575722310336,19.487660662166,10.2818288434697,36.364091729889,26.6019795031922
"ERR_AIPW",-38.2067421929088,-41.3672162902599,39.0607140467756,41.3672162902599,48.2088453472829,47.4096840328476
